Name	Consensus length	Total read count	Single reads	Reads in pairs	Average coverage	Reference sequence	Reference length	Reference common name	Reference latin name
73	158936	15224	862	14362	14.344	73	158936		
646	84140	7875	427	7448	14.023	646	84140		
724	240677	21509	1307	20202	13.389	724	240666		
759	344044	32091	1883	30208	13.968	759	344044		
1474	177057	14952	874	14078	12.646	1474	177085		
1628	192238	15763	851	14912	12.282	1628	192252		
2074	236565	23110	1314	21796	14.627	2074	236635		
2398	426811	36156	2064	34092	12.685	2398	426910		
2449	95598	9094	564	8530	14.233	2449	95598		
2916	67978	6004	318	5686	13.241	2916	67978		
3156	56619	5263	275	4988	13.928	3156	56619		
4068	131384	12089	691	11398	13.788	4068	131384		
5036	40437	3811	299	3512	14.109	5036	40437		
5108	159148	12730	710	12020	11.977	5108	159148		
5279	57389	4662	262	4400	12.166	5279	57389		
8297	271169	22723	1179	21544	12.555	8297	271167		
15056	41865	3930	500	3430	13.916	15056	41864		
167	44898	3637	253	3384	12.106	167	44941		
804	66769	5266	298	4968	11.794	804	66805		
915	52532	4499	497	4002	12.745	915	52566		
916	62170	5275	463	4812	12.626	916	62245		
1104	120036	9502	582	8920	11.84	1104	120036		
1176	98068	7095	437	6658	10.815	1176	98123		
1184	33705	2783	189	2594	12.334	1184	33705		
1334	28197	2107	163	1944	11.146	1334	28242		
1410	140211	10749	965	9784	11.404	1410	140541		
1458	53683	4123	253	3870	11.48	1458	53700		
1480	99184	8040	558	7482	12.082	1480	99413		
1731	12282	939	71	868	11.418	1731	12282		
2442	40960	3111	397	2714	11.219	2442	41091		
2665	30707	2413	171	2242	11.719	2665	30735		
2694	42160	3037	179	2858	10.765	2694	42162		
2882	12413	1052	120	932	12.55	2882	12453		
2883	12469	1220	142	1078	14.558	2883	12469		
3690	68319	5680	456	5224	12.365	3690	68381		
3741	80610	7319	1379	5940	13.466	3741	80610		
4014	108098	8193	737	7456	11.271	4014	108419		
4314	103177	8406	784	7622	12.112	4314	103277		
4388	24218	1984	164	1820	12.223	4388	24240		
4607	61206	5027	285	4742	12.256	4607	61332		
4687	84107	6672	430	6242	11.852	4687	84108		
4902	7275	528	62	466	10.811	4902	7275		
4926	65023	5169	443	4726	11.799	4926	65364		
5018	43742	3644	240	3404	12.465	5018	43742		
5087	13107	921	45	876	10.522	5087	13104		
5616	98249	8058	568	7490	12.219	5616	98451		
5754	39796	3118	244	2874	11.708	5754	39796		
5933	66832	5255	377	4878	11.752	5933	66832		
6402	17294	1315	153	1162	11.211	6402	17453		
6755	12573	1036	118	918	12.154	6755	12636		
7170	137952	10679	1031	9648	11.537	7170	138014		
7274	18036	1571	113	1458	12.958	7274	18098		
7416	82694	6645	435	6210	11.997	7416	82814		
7452	78831	5870	420	5450	11.106	7452	78985		
7702	22320	1835	135	1700	12.287	7702	22320		
8290	44405	3400	260	3140	11.404	8290	44521		
8387	70800	5817	411	5406	12.254	8387	70858		
8426	19686	1516	148	1368	11.478	8426	19686		
8598	13049	937	87	850	10.73	8598	13049		
8626	43576	3452	186	3266	11.817	8626	43673		
8630	44287	3300	270	3030	11.101	8630	44393		
8634	5037	404	32	372	11.988	8634	5037		
8673	21283	1690	260	1430	11.737	8673	21283		
8819	18698	1351	105	1246	10.818	8819	18698		
8830	31521	2729	249	2480	12.901	8830	31522		
8835	22956	1891	159	1732	12.281	8835	22987		
8911	9288	759	69	690	12.225	8911	9288		
8912	29471	2231	125	2106	11.311	8912	29471		
9242	35213	3077	543	2534	12.914	9242	35250		
9362	17519	1400	102	1298	11.93	9362	17518		
9483	51055	4286	318	3968	12.567	9483	51055		
9704	35649	2716	212	2504	11.384	9704	35649		
9724	15117	1170	84	1086	11.547	9724	15117		
9725	65285	4573	397	4176	10.462	9725	65285		
9810	42126	3420	242	3178	12.133	9810	42126		
9884	40326	3156	264	2892	11.602	9884	40636		
10003	21906	1640	88	1552	11.199	10003	21906		
10165	10076	836	64	772	12.367	10165	10076		
10717	11492	986	72	914	12.842	10717	11492		
10817	31360	2552	198	2354	12.111	10817	31461		
10827	47603	3663	231	3432	11.457	10827	47759		
11070	41069	3127	181	2946	11.346	11070	41161		
11139	12176	870	42	828	10.688	11139	12198		
11161	17561	1495	79	1416	12.746	11161	17574		
11243	30743	2357	147	2210	11.429	11243	30785		
11266	29775	2393	167	2226	12.026	11266	29775		
11285	59883	4621	301	4320	11.5	11285	60057		
11581	67376	5458	384	5074	12.113	11581	67376		
11636	58025	4431	347	4084	11.381	11636	58126		
11657	67658	5199	313	4886	11.484	11657	67736		
11674	22622	1871	157	1714	12.31	11674	22643		
11868	52766	4043	301	3742	11.408	11868	52895		
12021	63883	5107	377	4730	11.928	12021	63916		
12075	30125	2286	188	2098	11.326	12075	30125		
12192	74797	6371	487	5884	12.709	12192	74840		
12212	16815	1244	70	1174	11.057	12212	16816		
12513	18271	1516	104	1412	12.402	12513	18271		
12521	21990	1688	148	1540	11.432	12521	22016		
12554	16933	1270	98	1172	11.129	12554	17020		
12892	21662	1543	107	1436	10.637	12892	21686		
12928	36038	2853	173	2680	11.813	12928	36089		
12947	21003	1424	120	1304	10.106	12947	21005		
13064	82659	7151	599	6552	12.905	13064	82704		
13183	7146	576	56	520	11.998	13183	7184		
13187	31664	2579	241	2338	12.138	13187	31665		
13290	104282	8590	494	8096	12.319	13290	104305		
13376	70124	5278	388	4890	11.235	13376	70138		
13572	18400	1458	116	1342	11.862	13572	18400		
13765	8771	688	48	640	11.642	13765	8817		
13776	71658	5100	450	4650	10.593	13776	71768		
14076	9520	719	41	678	11.124	14076	9675		
14093	19710	1479	117	1362	11.238	14093	19710		
14356	31036	2727	259	2468	13.104	14356	31036		
14365	29982	2426	222	2204	12.061	14365	29982		
14424	10371	818	54	764	11.776	14424	10371		
14430	46264	3815	283	3532	12.313	14430	46264		
14518	8359	679	57	622	12.086	14518	8359		
14536	11888	1055	149	906	13.126	14536	11922		
14552	40609	3241	191	3050	11.936	14552	40631		
14579	15734	1173	87	1086	11.102	14579	15776		
14816	32716	2603	221	2382	11.766	14816	32895		
15053	28249	2114	168	1946	11.155	15053	28326		
15264	14119	993	77	916	10.532	15264	14117		
15281	7507	690	74	616	13.426	15281	7612		
15466	21035	1565	87	1478	11.117	15466	21035		
16054	7860	743	157	586	13.854	16054	7873		
16065	8698	721	45	676	12.383	16065	8698		
16819	9694	888	158	730	13.542	16819	9697		
16859	29766	2225	195	2030	11.155	16859	29771		
17010	10975	897	53	844	12.217	17010	10975		
17198	38853	2876	168	2708	11.035	17198	38993		
17455	21394	1655	163	1492	11.521	17455	21444		
17703	9553	705	53	652	11.029	17703	9553		
18185	32940	2745	199	2546	12.439	18185	32954		
19037	15079	1175	69	1106	11.598	19037	15134		
19192	21168	1548	108	1440	10.846	19192	21266		
19227	14673	1110	74	1036	11.318	19227	14673		
20331	18679	1511	139	1372	11.973	20331	18820		
20509	28450	2460	200	2260	12.876	20509	28450		
20692	27643	2134	156	1978	11.501	20692	27724		
20773	25605	1934	132	1802	11.212	20773	25753		
21167	5936	483	45	438	12.138	21167	5937		
21814	7772	636	88	548	11.987	21814	7899		
21873	4387	363	79	284	11.974	21873	4408		
22253	23497	1939	133	1806	12.305	22253	23555		
22927	5469	381	35	346	10.412	22927	5469		
22958	23017	1924	160	1764	12.473	22958	23015		
23140	60211	4605	283	4322	11.422	23140	60266		
23662	5809	467	33	434	12.005	23662	5809		
24346	4896	339	41	298	10.321	24346	4896		
24623	8512	686	56	630	11.927	24623	8548		
24636	9390	800	44	756	12.752	24636	9390		
26090	36571	2689	161	2528	10.994	26090	36586		
26317	13374	1058	94	964	11.786	26317	13374		
28429	12418	874	88	786	10.481	28429	12444		
29274	5166	395	31	364	11.343	29274	5196		
31346	7170	607	75	532	12.521	31346	7194		
32162	9949	839	103	736	12.466	32162	9946		
36655	7913	565	53	512	10.536	36655	7966		
37265	8543	665	39	626	11.633	37265	8559		
40702	4137	360	26	334	12.953	40702	4138		
51138	7760	650	44	606	12.516	51138	7760		
697	205265	9546	674	8872	6.931	697	206178		
2396	100608	4607	291	4316	6.833	2396	100894		
2720	86886	3979	261	3718	6.814	2720	87214		
2764	442644	20806	1572	19234	7.004	2764	443965		
2804	208995	9052	560	8492	6.439	2804	210364		
3017	48917	2139	145	1994	6.519	3017	49121		
3035	52239	2330	168	2162	6.625	3035	52586		
4566	96644	4368	258	4110	6.733	4566	97172		
5542	142046	6848	472	6376	7.183	5542	142552		
5598	240383	10183	597	9586	6.303	5598	241964		
6300	206619	9097	641	8456	6.554	6300	207670		
7326	147718	6353	411	5942	6.424	7326	148070		
8137	133641	6228	448	5780	6.959	8137	133893		
8199	4327	195	13	182	6.657	8199	4368		
8500	61674	2823	219	2604	6.79	8500	62073		
8760	30004	1379	59	1320	6.84	8760	30209		
8980	328981	13994	840	13154	6.33	8980	330847		
10446	85899	3888	246	3642	6.736	10446	86310		
10664	124136	6165	849	5316	7.315	10664	125043		
14162	5550	254	24	230	6.576	14162	5782		
15823	259471	12384	868	11516	7.113	15823	260453		
18557	28621	1254	88	1166	6.439	18557	29133		
20066	9936	430	26	404	6.219	20066	10327		
21757	20847	913	45	868	6.49	21757	21056		
24099	53563	2351	143	2208	6.51	24099	54030		
1	13342	53625	3819	49806	600.1	1	13342		
2	81106	362394	22966	339428	669.205	2	81106		
20	94687	369405	32221	337184	584.079	20	94687		
32	24800	104610	6570	98040	630.06	32	24845		
33	5526	23738	3208	20530	625.612	33	5644		
34	5282	27745	5233	22512	769.949	34	5282		
35	18770	72758	4678	68080	580.13	35	18770		
39	71279	257433	16659	240774	539.748	39	71374		
48	37173	123694	8514	115180	498.465	48	37173		
56	115104	452669	27695	424974	588.373	56	115183		
61	88212	304326	18214	286112	516.747	61	88211		
70	86799	384391	23467	360924	663.3	70	86800		
84	56788	240951	12219	228732	635.893	84	56788		
98	32938	122130	6092	116038	555.798	98	32938		
99	70091	214891	12011	202880	459.178	99	70091		
102	53212	206179	15063	191116	578.858	102	53209		
126	46749	156764	7656	149108	502.755	126	46749		
217	31742	112623	11201	101422	529.456	217	31740		
231	13772	56551	3193	53358	615.162	231	13772		
241	14015	62918	3990	58928	672.89	241	14015		
246	72708	275064	22018	253046	562.365	246	72874		
262	46156	154522	9440	145082	501.448	262	46158		
270	40714	185570	13652	171918	681.774	270	40714		
290	57578	267174	16132	251042	694.166	290	57600		
304	18305	85622	5228	80394	700.234	304	18313		
310	26967	108557	5397	103160	603.356	310	26967		
322	19583	81239	4983	76256	620.61	322	19583		
334	12726	38446	10768	27678	443.253	334	12726		
335	17385	68205	10771	57434	583.382	335	17385		
347	49842	163905	13513	150392	491.734	347	49842		
367	83713	337898	22894	315004	604.241	367	83714		
372	38971	161153	14447	146706	617.011	372	38971		
388	89910	276253	12997	263256	460.66	388	89910		
407	46973	223500	14364	209136	711.661	407	47013		
440	56196	209153	21411	187742	555.238	440	56222		
458	33420	112946	6094	106852	506.413	458	33420		
478	6787	35370	2838	32532	780.147	478	6787		
480	17956	82610	4656	77954	689.204	480	17956		
482	37413	146857	15997	130860	584.601	482	37425		
486	44178	163195	14293	148902	552.547	486	44209		
513	13916	65903	3781	62122	709.3	513	13916		
527	55202	252975	20783	232192	684.454	527	55206		
536	37491	159655	8475	151180	637.93	536	37491		
590	24651	89291	4479	84812	543.111	590	24651		
